"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"NDFIP1",47.50462,45.44804,55.00487,64.20664,69.77032,53.62591,46.14267,39.81998,49.3809,49.64962,55.80807,44.27522,64.41069
"NDRG1",25.59989,15.71361,23.58028,29.14795,16.72581,27.72681,34.18128,37.37406,55.61401,26.95509,42.52642,46.3374,22.41064
"NDST2",10.23357,33.52519,22.07309,28.97106,23.05124,18.44042,21.99149,20.80149,26.45493,33.51373,23.78836,23.94385,27.07196
"NECTIN1",0.433683,0.326304,0.870394,0.278775,0.540368,0.351562,1.042731,0.448069,0.995335,0.408427,0.8268554,0.38437,0.582845
"NECTIN2",1.4549,2.426389,2.770819,2.181026,2.49352,1.16271,2.331809,0.6221668,2.735511,1.379476,2.068081,1.5106,0.5585704
"NEDD9",68.64237,78.8132,58.11781,83.03229,73.90927,80.6555,67.63403,85.55817,54.04318,58.36012,82.46903,99.71166,96.28884
"NF1",12.4661,8.319757,24.35985,19.82717,21.8377,15.60189,16.25521,18.03559,24.72382,16.82651,12.13586,12.96981,13.38097
"NFAM1",54.7355,76.8523,56.1711,64.304,52.5495,76.876,66.2811,66.5054,78.7334,61.5938,80.4881,97.7218,72.5578
"NFATC1",21.89042,18.97337,32.2388,26.0504,26.30207,19.10018,17.91809,26.30608,21.61131,24.83264,27.17418,18.12556,27.40995
"NFATC2",13.14961,8.07405,12.21249,17.64472,11.82695,11.43061,12.91926,11.48088,12.59691,11.50063,8.161593,9.67578,10.76417
"NFE2L2",101.5164,99.64009,109.8692,137.758,89.96522,166.358,77.99904,90.32442,87.7711,98.49081,87.11941,132.7398,217.3744
"NFIL3",8.20629,20.8858,24.3533,16.8952,16.5269,25.5847,9.50259,2.32125,2.17168,3.15038,3.20054,21.2195,17.9598
"NFILZ",0,0,0.338259,0,0,0,0,1.06649,0.624686,0,0,0,0.940777
"NFKB2",7.776364,9.150365,11.95317,7.990013,7.834271,11.61242,10.1412,8.204886,8.537134,7.68755,6.55576,16.2395,15.28975
"NFKBIA",5796.956,1616.614,1815.87,1533.735,1233.315,2021.724,5019.024,3252.422,534.2337,596.6713,1169.224,2483.74,2080.222
"NFKBID",59.38956,43.58241,34.80204,44.84004,28.45245,69.21349,33.69994,38.6446,29.79144,25.61219,28.39865,61.53545,77.19618
"NFKBIL1",9.002137,6.60037,12.13471,13.29178,9.748822,6.805863,15.24299,11.7598,13.13342,12.17488,14.65189,12.56193,6.85717
"NFKBIZ",1160.28,308.498,345.589,336.8072,253.9568,326.0997,896.7657,481.7027,121.2825,117.1835,237.3317,407.7941,356.186
"NHEJ1",20.20707,24.30607,28.95066,27.90177,26.50986,18.7303,20.66087,17.01534,24.23308,19.53273,29.96813,22.04981,18.16856
"NINJ1",259.74,267.1833,211.467,252.7737,231.9711,228.2388,205.6204,121.4979,142.9724,163.8606,159.8077,288.6432,384.4645
"NKAP",9.113566,9.304448,5.757335,10.00436,8.530907,6.56582,5.031833,7.368382,7.50292,6.66995,5.87118,5.38036,6.00422
"NKG7",747.5611,393.5276,544.8193,415.0703,308.7489,399.5626,442.6479,626.8484,507.1834,537.8576,353.022,448.5651,284.9917
"NLRC3",22.06431,12.34152,17.02981,20.19895,16.1722,19.78595,18.76076,19.41017,16.95013,18.23598,24.59486,9.480038,20.22867
"NLRC4",15.00589,22.36214,10.17874,22.02081,23.11166,8.066408,14.62964,23.90693,24.14175,17.15404,21.46903,10.03936,6.915361
"NLRC5",311.3208,294.9458,212.2038,363.3073,309.1928,170.0219,306.6911,242.2652,264.3142,201.3751,210.4148,234.5208,237.6542
"NLRP1",84.76498,103.1386,72.27725,93.92648,90.22092,72.4947,102.877,129.9261,101.3063,98.02583,114.8748,75.91723,127.3182
"NLRP12",13.15851,14.38673,11.7972,17.54008,18.94383,16.09873,21.43025,26.26881,20.67544,27.6286,25.83989,21.84486,14.06313
"NLRP2",9.20871,2.640612,11.00423,7.538578,12.30419,4.748789,6.369284,8.537445,8.241947,5.724733,4.365566,3.606864,12.43376
