"from","to","strength","direction"
"GFER","KIR3DL1",0.72,0.941666666666667
"HAVCR2","RASGRP1",0.72,0.828333333333333
"KIF5B","HLA-E",0.77,0.5825
"ACOD1","RPS19",0.77,0.886666666666667
"DUSP10","LILRA2",0.73,0.678333333333333
"BCR","CLNK",0.72,0.709166666666667
"BCR","NCKAP1L",0.72,0.844166666666667
"KLRC2","VAMP8",0.8,0.801666666666667
"DCLRE1C","TP53BP1",0.73,0.67
"EXOSC6","RNF168",0.7,0.771666666666667
"BCL6","UNG",0.74,0.800833333333333
"CD40","PLCL2",0.75,0.700416666666667
"MNDA","SASH3",0.86,0.8275
"F2RL1","IL21",0.74,0.89
"IL12A","SLC7A5",0.71,0.558333333333333
"TXK","ZFPM1",0.73,0.77
"MYH9","NCKAP1L",0.86,0.819166666666667
"ATP6AP1","G6PD",0.7,0.838333333333333
"CITED2","FLI1",0.78,0.915
"CLDN18","FAM210B",0.77,0.79125
"GATA1","TRIM58",0.78,0.748333333333333
"NCKAP1L","TMOD3",0.71,0.693333333333333
"B2M","CD74",0.72,0.813333333333333
"G3BP1","RELB",0.75,0.8775
"GBP7","LILRA4",0.71,0.863333333333333
"IL10","STING1",0.76,0.938333333333333
"ATAD5","HLA-DRA",0.7,1
"CD40","HLA-DQB1",0.75,0.6125
"ACE","VAMP7",0.86,0.90375
"FFAR3","IL16",0.72,0.858333333333333
"IL15","LRRK2",0.77,0.9375
"RIPK1","RPS19",0.7,0.723333333333333
"CCR7","CD27",0.77,0.898333333333333
"CD22","FCGR2B",0.74,0.907916666666667
"CD28","TLR9",0.78,0.879166666666667
"EXOSC6","HLA-E",0.73,0.5725
"IL10","STX4",0.7,0.785
"IL27RA","TNFRSF4",0.73,0.7325
"IL4R","TRAF6",0.71,0.755833333333333
"SHLD1","SHLD2",0.77,0.781666666666667
"BLOC1S6","CD2",0.73,0.950833333333333
"CD1D","NECTIN2",0.75,0.758333333333333
"IL6R","RARA",0.72,0.804166666666667
"SPN","TWSG1",0.71,0.8625
"HSPA1A","RBCK1",0.71,0.901666666666667
"CD177","PODXL2",0.73,0.8475
"FER","LEP",0.72,0.564166666666667
"FUT7","ICAM1",0.73,0.7275
"GSN","ITGA2",0.7,0.845833333333333
"PARP14","PARP9",0.72,0.99
"DHX9","LEP",0.71,0.800833333333333
"FADD","SELENOK",0.72,0.863333333333333
"OAS1","OAS2",0.7,0.8275
"BCL3","RELB",0.74,0.865833333333333
"HLA-DRA","ZAP70",0.72,0.643333333333333
"HMGB1","IL23R",0.75,0.9
"CXCL8","ZC3H12A",0.7,0.706666666666667
"CXCR1","CXCR2",0.86,0.863333333333334
"LOX","TREM2",0.74,0.859166666666667
"CCL24","CCR9",0.7,0.903333333333333
"HLA-E","IL23R",0.71,0.871666666666667
"APPL1","IFI35",0.79,0.903333333333333
"ADGRB1","IGLC7",0.73,0.8325
"MIF","RIPK1",0.75,0.908333333333333
"LTBR","S100A12",0.72,0.846666666666667
"DOCK11","TSC22D3",0.83,0.873333333333333
"FADD","TNFAIP3",0.82,0.898333333333333
"BTK","CLNK",0.76,0.851666666666667
"NR4A3","RABGEF1",0.71,0.920833333333333
"AHR","KIR2DL4",0.83,0.880833333333334
"CCR2","CD55",0.79,0.9425
"CD300A","IL20RB",0.75,0.745
"AIRE","CD99",0.72,0.907916666666667
"APOD","ITGAL",0.72,0.881666666666667
"CCR2","CXCL16",0.82,0.775
"CD200","RHOA",0.74,0.851666666666667
"IFIT1","ISG15",0.82,0.878333333333334
"IFIT1","MX1",0.7,0.768333333333333
"IFNAR1","YTHDF2",0.75,0.869166666666667
"CD1B","KLRC4-KLRK1",0.72,0.864583333333333
