"from","to","strength","direction"
"APOBEC3B","APOBEC3F",0.71,0.575416666666667
"APOBEC3C","EXOSC6",0.89,0.507083333333333
"APOBEC3D","EXOSC3",0.7,0.66125
"APOBEC3G","EXOSC6",0.8,0.591666666666667
"APOBEC3H","EXOSC3",0.86,0.742916666666667
"CD274","PDCD1",0.73,0.575
"ZC3H8","CD274",0.78,0.617916666666667
"ADAM17","CASP4",0.77,0.81625
"CASP1","HSPA1A",0.84,0.675833333333333
"CASP4","HSPA1A",0.71,0.81375
"HSPA1A","LAPTM5",0.72,0.587083333333333
"HSPA1B","LAPTM5",0.89,0.68625
"ACE","OPRD1",0.78,0.88625
"BDKRB1","CXCR4",0.7,0.6075
"OPRM1","TRPV1",0.72,0.745833333333333
"P2RX4","PTAFR",0.86,0.800833333333333
"ANXA2","P2RX4",0.82,0.72
"CST7","GLI3",0.74,0.965
"ACKR3","MARCHF7",0.71,0.815416666666667
"CD44","MIF",0.77,0.736666666666667
"CD74","OTUB1",0.71,0.68375
"CLU","SFRP2",0.7,0.885833333333333
"SHLD2","CYREN",0.75,0.619166666666667
"CYLD","PELI1",0.81,0.805
"CYLD","TP53",0.8,0.705833333333333
"FADD","MIR221",0.73,0.583333333333333
"FADD","PELI1",0.78,0.564583333333333
"PELI1","TP53",0.71,0.776666666666667
"HIF1A","STX4",0.7,0.715
"HSP90AB1","HCLS1",0.7,0.593333333333333
"JAK2","NF1",0.78,0.740416666666667
"APOE","PYHIN1",0.73,0.883333333333333
"BDKRB1","CCR2",0.72,0.76
"CTSS","PTAFR",0.73,0.821666666666667
"ADIPOQ","EMP2",0.72,0.8625
"PKN1","TRPV1",0.73,0.855833333333333
"ADAM17","CD109",0.76,0.897083333333333
"RC3H2","TIPARP",0.76,0.664166666666667
"CD19","CX3CL1",0.77,0.715
"ORAI1","P2RX4",0.7,0.768333333333333
"CCR2","GATA2",0.76,0.888333333333333
"CCR2","NOTCH1",0.71,0.772083333333333
"CORO1A","IL20RB",0.7,0.581666666666667
"CORO1A","SASH3",0.88,0.819583333333333
"IL7","ILDR2",0.72,0.6075
"P2RX7","PTPN11",0.72,0.631666666666667
"C4BPB","PLA2G5",0.7,0.835833333333333
"COLEC10","SPON2",0.82,0.595416666666667
"AKT1","PIK3CB",0.81,0.751666666666667
"EZR","S1PR1",0.83,0.714166666666667
"EZR","S1PR4",0.95,0.77
"S1PR1","S1PR4",0.77,0.574583333333333
"DTX3L","KMT5C",0.74,0.66375
"KMT5B","KMT5C",0.86,0.739166666666667
"KMT5C","SHLD3",0.8,0.502916666666667
"SHLD3","PRKDC",0.7,0.51875
"SHLD3","SHLD2",0.71,0.519583333333333
"APOA1","TSC1",0.75,0.825833333333333
"LCP1","PAK1",0.78,0.955
"RAC1","ZYX",0.74,0.724166666666667
"HIF1A","TP53",0.76,0.7675
"TP53","JAK3",0.7,0.582083333333333
"RHOA","MSN",0.75,0.8775
"DPF2","HSPA9",0.73,0.766666666666667
"MYB","NFE2L2",0.86,0.696666666666667
"NFE2L2","HES1",0.83,0.566666666666667
"ATXN1L","KAT7",0.7,0.904583333333333
"ATXN1L","PIM1",0.84,0.844583333333333
"EIF2AK2","KAT7",0.77,0.900833333333333
"KITLG","PDCD2",0.79,0.727083333333333
"N4BP2L2","KITLG",0.71,0.62
"ADIPOQ","MYC",0.74,0.712083333333333
"MYC","TRIB1",0.73,0.539583333333333
"PDGFD","TLR4",0.84,0.81125
"CTSS","VSIR",0.76,0.755833333333333
"IHH","MMP28",0.86,0.937083333333333
"AP3B1","MITF",0.73,0.825416666666667
"AKT1","NOTCH1",0.77,0.8325
"CITED2","RUNX1",0.71,0.728333333333333
"FLVCR1","STK3",0.79,0.590833333333333
"JARID2","SASH3",0.81,0.855833333333333
"TGFBR2","TOMM70",0.7,0.640833333333333
"TGFBR2","YY1",0.84,0.791666666666667
"FARP2","GAL",0.7,0.802916666666667
"BAX","THBS4",0.84,0.829166666666667
"AMBP","DUSP3",0.74,0.902083333333333
"DLG1","MAPK8IP1",0.71,0.744583333333333
"DLG1","PTPN22",0.83,0.800416666666667
"EZR","MYC",0.73,0.813333333333333
"EZR","PPIA",0.73,0.7875
"F2RL1","ZNF675",0.7,0.749583333333333
"MAPK8IP1","SFRP2",0.7,0.644166666666667
"DUSP1","PPIA",0.75,0.664166666666667
"EZR","GPS2",0.72,0.66875
"F2RL1","SFRP2",0.72,0.839166666666667
"GPS2","ITCH",0.71,0.716666666666667
"ARHGEF2","STX4",0.85,0.72625
"BMP5","PARK7",0.74,0.745416666666667
"GPX1","HMGB2",0.77,0.615833333333333
"HMOX1","SP100",0.7,0.697916666666667
"PMAIP1","SKIL",0.7,0.6925
"STK4","PARK7",0.8,0.53
"STX4","THBS1",0.73,0.868333333333333
"AKIRIN1","RIPOR2",0.78,0.607916666666667
"MAPK14","RIPOR2",0.87,0.6275
"MAPK14","TNFSF14",0.81,0.619166666666667
"PLCB1","XKR8",0.84,0.759166666666667
"TGFB1","LRRC8A",0.73,0.884166666666667
"GPX1","REST",0.71,0.717083333333333
"GPX1","TSC1",0.72,0.7425
"LRRK2","PARK7",0.72,0.584166666666667
"LRRK2","TSC1",0.74,0.627083333333333
"GATA6","PDGFB",0.87,0.55875
"LILRB4","PDGFB",0.71,0.729583333333333
"PDGFB","RELA",0.74,0.573333333333333
"PDGFB","SRF",0.73,0.662083333333333
"PPARG","REST",0.81,0.675833333333333
"RARA","YY1",0.97,0.72875
"IL1A","PLA2G6",0.7,0.5525
"MAP2K6","SYK",0.7,0.649166666666667
"P2RX4","PLA2G6",0.72,0.65375
"FPR2","ITGB2",0.74,0.708333333333333
"IFNG","SHH",0.71,0.561666666666667
"MAPK14","ZC3H12A",0.72,0.613333333333333
"ADIPOQ","CD36",0.75,0.789166666666667
"MAPK9","NR1H2",0.73,0.500833333333333
"NR1H2","PLA2G10",0.77,0.744583333333333
"LEP","OPRK1",0.71,0.776666666666667
"MAP3K5","MFHAS1",0.71,0.740416666666667
"PRMT1","SPI1",0.76,0.601666666666667
"SPHK1","OPRK1",0.7,0.554166666666667
"SPHK1","ZC3H12A",0.71,0.631666666666667
"HSPA1A","PMAIP1",0.77,0.825
"HSPA1A","SELENOS",0.7,0.670416666666667
"LRRK2","SERINC3",0.77,0.7125
"LRRK2","XBP1",0.84,0.669166666666667
"NCK2","XBP1",0.85,0.724166666666667
"PTPN1","BCL2L11",0.71,0.521666666666667
"HMGB2","MMP14",0.8,0.698333333333333
"AKT1","HIPK1",0.7,0.853333333333333
"PRMT6","PYHIN1",0.77,0.8925
"IL1B","NFKBIA",0.86,0.8875
"CD177","NCF1",0.7,0.76875
"CYBB","ITGB2",0.76,0.723333333333333
"PRKCD","SOD2",0.71,0.66
"ATAD5","BCL2",0.82,0.795
"CD74","CDKN1A",0.71,0.7875
"CD74","SIRT1",0.7,0.879166666666667
"CDKN1A","TP53",0.86,0.705833333333333
"HIPK1","HIPK2",0.79,0.760416666666667
"HIPK1","SIRT1",0.93,0.93
"IFI16","PML",0.83,0.693333333333333
"PYCARD","SIRT1",0.81,0.82
"EXOSC9","HAMP",0.73,0.894166666666667
"PIK3R1","RGCC",0.75,0.8425
"WAS","MTOR",0.71,0.555833333333333
"CD47","CDC42",0.72,0.8575
"CAV1","ITGB8",0.7,0.787916666666667
"EMP2","TGFBR2",0.73,0.7725
"JUNB","RRAS",0.92,0.940833333333333
"SETD2","VEGFA",0.82,0.746666666666667
"ZFP36L1","ZMIZ1",0.71,0.643333333333333
"GREM1","TCF21",0.76,0.585
"ADAM17","RBPJ",0.77,0.780416666666667
"ATF4","NOTCH1",0.74,0.847083333333333
"IL15","PLCL2",0.78,0.77375
"NOTCH1","TLR4",0.7,0.650833333333333
"TLR4","WNT10B",0.77,0.6375
"CTSH","PDGFB",0.75,0.70875
"GATA3","NF1",0.91,0.89375
"ABL1","SNCA",0.76,0.790416666666667
"ATP7A","SDHAF4",0.76,0.5675
"CYBA","GCH1",0.72,0.730833333333333
"EDN3","NOD1",0.75,0.87
"EDN3","PARK7",0.78,0.931666666666667
"CCL3","JUN",0.72,0.827083333333333
"JUN","ZFP36",0.83,0.7375
"TRIM62","DHX9",0.72,0.611666666666667
"ARRB2","CD33",0.75,0.80375
"ARRB2","NLRP12",0.71,0.765
"CX3CR1","TNFAIP3",0.82,0.8325
"NLRP12","ZC3H12A",0.72,0.632916666666667
"FLT1","SELE",0.72,0.662916666666667
"HRAS","TXK",0.72,0.681666666666667
"ITK","KIT",0.7,0.6825
"CITED1","KITLG",0.74,0.5725
"KIT","KITLG",0.71,0.553333333333333
"ABL1","BMP4",0.78,0.823333333333333
"ABL1","LIF",0.86,0.78125
"CTNNB1","PIK3CD",0.89,0.9
"CTNNB1","SIX4",0.78,0.75375
"GJA1","SIX4",0.81,0.879583333333333
"LIF","SIX1",0.72,0.759166666666667
"SIX1","VEGFA",0.76,0.72875
"PDE4B","PDE4D",0.79,0.814583333333333
"WNT1","CCN3",0.76,0.518333333333333
"WNT10B","XBP1",0.74,0.785
"CDKN1A","NINJ1",0.78,0.797083333333333
"DUSP10","APOD",0.72,0.819166666666667
"TEC","GJA1",0.74,0.581666666666667
"EZR","SPHK1",0.77,0.710416666666667
"PIK3CB","PIK3CG",0.7,0.594166666666667
"S1PR1","SPHK1",0.71,0.58
"ADGRF5","IGKV3-20",0.73,0.515
"F2RL1","CD34",0.75,0.545
"FER","STAT3",0.8,0.600833333333333
"IL6R","FER",0.7,0.60625
"JAK1","SPI1",0.74,0.572083333333333
"ADIPOQ","JAG1",0.7,0.820833333333333
"EDNRB","PECAM1",0.76,0.65875
"ARL8B","PLA2G5",0.75,0.865
"ARL8B","RAB32",0.8,0.729583333333333
"MCOLN1","RAB20",0.87,0.749583333333333
"MCOLN1","RAB34",0.7,0.684583333333333
"RAB34","SYT11",0.83,0.5375
"RAB43","RAB7B",0.7,0.68875
"BSG","TBX1",0.76,0.599166666666667
"SIX1","WNT1",0.79,0.649166666666667
"ABL1","GPER1",0.71,0.87375
"CSK","NLRP12",0.76,0.6925
"CSK","NLRP6",0.71,0.669583333333333
"EZR","PTPN2",0.8,0.528333333333333
"PTPRC","TNIP1",0.74,0.67125
"CXCL8","ID2",0.7,0.782916666666667
"CXCL8","SHH",0.74,0.78875
"GLI3","PDGFRA",0.83,0.866666666666667
"GLI3","TNF",0.71,0.7275
"HLX","SHH",0.73,0.660833333333333
"TGFB2","IHH",0.81,0.648333333333333
"ASB2","BVES",0.72,0.8175
"APOE","VTN",0.81,0.91625
"EDN1","SH2B3",0.77,0.720833333333333
"HRG","PLG",0.73,0.599583333333333
"ADORA2A","APOE",0.73,0.765
"AZU1","CEACAM1",0.72,0.784583333333333
"CHD7","PTPN11",0.88,0.86625
"CHD7","TIPARP",0.72,0.864166666666667
"MAP2K1","PLEKHA1",0.72,0.687083333333333
"MAPK1","PLEKHA1",0.7,0.635
"PLEKHA1","TBX1",0.7,0.548333333333333
"RARG","TGFB3",0.76,0.650833333333333
"SGPL1","TBX1",0.75,0.722916666666667
"AKT1","DNM1L",0.7,0.70375
"BCL2","IGF1",0.79,0.79375
"GPER1","BAX",0.75,0.5075
"IFI6","TNFSF10",0.74,0.794166666666667
"DMTN","F12",0.71,0.590416666666667
"ST3GAL4","THBS1",0.81,0.764583333333333
"EFNB1","NCK2",0.8,0.796666666666667
"EFNB2","NCK1",0.83,0.731666666666667
"EPHB1","PTPN11",0.71,0.61125
"EPHB1","SRC",0.85,0.821666666666667
"EPHB1","YES1",0.78,0.7675
"EPHB3","MMP9",0.74,0.524583333333333
"FYN","PTPN11",0.75,0.564166666666667
"MMP9","PAK3",0.72,0.707083333333333
"PAK1","RBPJ",0.8,0.679166666666667
"DNM2","ITGA4",0.83,0.804166666666667
"EPHB3","ITGB7",0.77,0.830833333333333
"ST6GAL1","UNC13D",0.76,0.826666666666667
"ADA","CD3E",0.82,0.7425
"CCL5","ITGB1",0.87,0.650833333333333
"ITGB1","SKAP1",0.76,0.67
"BCL11B","MYO1E",0.71,0.57125
"BCL2L11","VEGFA",0.73,0.779166666666667
"FBN1","JAK2",0.87,0.773333333333333
"VEGFA","JAK2",0.71,0.767916666666667
"CCR2","HIF1A",0.8,0.77125
"CCR2","IL1A",0.73,0.610833333333333
"HMOX1","HIF1A",0.79,0.6025
"HMOX1","PPARG",0.85,0.520833333333333
"MDK","TGFB1",0.81,0.65625
"PPARG","TGFB1",0.78,0.577083333333333
"SIGLEC10","HIF1A",0.76,0.561666666666667
"SIGLEC10","IL1A",0.72,0.586666666666667
"SIGLEC10","TLR4",0.85,0.62
"CITED2","GATA3",0.72,0.86125
"HECTD1","HES1",0.73,0.565833333333333
"ADARB1","RBM47",0.78,0.931666666666667
"APOBEC3D","APOBEC3C",0.73,0.532083333333333
"ADIPOQ","CCL5",0.72,0.870833333333333
"CCL5","VTN",0.78,0.703333333333333
"LEF1","SOS1",0.71,0.700833333333333
"APOE","GLI3",0.72,0.914166666666667
"GFI1","SPHK1",0.78,0.841666666666667
"PIBF1","SLC22A13",0.76,0.64
"PIP4K2A","REST",0.72,0.807916666666667
"EMILIN1","TGFB1",0.78,0.770833333333333
"MTOR","SOX4",0.72,0.873333333333333
"NOTCH1","ROCK1",0.77,0.869583333333333
"CXCL10","TNF",0.71,0.9025
"FOXP1","PHB2",0.81,0.612083333333333
"GREM1","PHB2",0.79,0.658333333333333
"WNT5A","GATA3",0.8,0.607916666666667
"BMPR1A","EXT1",0.79,0.845833333333333
"RARG","SMPD3",0.71,0.682083333333333
"BMP4","ONECUT1",0.7,0.788333333333333
"CTR9","ITGA4",0.88,0.777916666666667
"LDB1","LEO1",0.74,0.639166666666667
"APPL1","EDN1",0.85,0.72125
"ENPP1","RPS6KB1",0.71,0.711666666666667
"MIR223","PIK3R1",0.77,0.76625
"PRKCB","SELENOS",0.7,0.579166666666667
"CDC42","SDC4",0.7,0.700833333333333
"CX3CL1","SWAP70",0.73,0.820833333333333
"LIMK1","RAPGEF3",0.76,0.764583333333333
"RHOA","SWAP70",0.78,0.720833333333333
"TCF21","GREM1",0.77,0.5325
"ATP7A","CYP27B1",0.7,0.675833333333333
"CAV1","CNR1",0.72,0.720416666666667
"CNR2","FCER2",0.81,0.868333333333334
"CYP27B1","HIF1A",0.75,0.58
"FCER2","PTK2B",0.71,0.670416666666667
"GCH1","PIK3CB",0.82,0.805416666666667
"ARIH2","DDX3X",0.8,0.802083333333333
"BIRC2","UBE2N",0.73,0.780833333333333
"DDX3X","TRIM27",0.8,0.598333333333333
"DDX3X","TRAF3",0.8,0.625
"GPS2","RNF168",0.88,0.76
"HECTD1","TRAF6",0.82,0.82
"HECTD1","TRIM5",0.72,0.679166666666667
"TRIM21","TRIM5",0.71,0.55125
"BCL2","CSF1R",0.85,0.78625
"CASP9","TP53",0.74,0.855
"CSF1R","CX3CR1",0.74,0.742083333333333
"CX3CL1","P2RX7",0.79,0.8
"CX3CL1","TP53",0.75,0.775833333333333
"CX3CR1","P2RX7",0.81,0.691666666666667
"REST","P2RX4",0.7,0.603333333333333
"BMP4","PDGFRA",0.7,0.887916666666667
"CEBPB","P2RX4",0.83,0.689583333333333
"KRT1","PTPRS",0.75,0.852916666666667
"HLA-DRB1","SLC22A13",0.75,0.725833333333333
"IL4I1","MR1",0.71,0.543333333333333
"MR1","SLC22A13",0.86,0.617083333333333
"APOBEC3C","APOBEC3G",0.71,0.60125
"APOBEC3F","APOBEC3B",0.7,0.501666666666667
"CD81","GAS6",0.76,0.660416666666667
"CD81","ICAM1",0.71,0.889166666666667
"CLEC4M","ICAM1",0.72,0.704583333333333
"NECTIN1","NECTIN2",0.8,0.614583333333333
"KAT8","MLLT3",0.91,0.96
"ANGPT1","EGR1",0.75,0.8375
"EGR1","NOTCH2",0.85,0.78125
"NOTCH1","NOTCH2",0.71,0.83
"CCL3","CLEC7A",0.71,0.85125
"CD3E","TRAT1",0.96,0.80875
"CD4","P2RX4",0.78,0.705833333333333
"MKRN2","PSME1",0.71,0.863333333333333
"EFNB3","SEMA7A",0.74,0.869166666666667
"CLPB","IL1A",0.7,0.6975
"DHX36","THBS1",0.73,0.820416666666667
"EP300","IRAK1",0.75,0.859166666666667
"HMOX1","HSF1",0.77,0.837916666666667
"HMOX1","MAPT",0.81,0.799583333333334
"LYN","HSP90AB1",0.71,0.585416666666667
"NF1","TRPV1",0.82,0.671666666666667
"ESRRA","IGF2",0.7,0.790833333333333
"PRKCB","SIRT1",0.78,0.8575
"CDC42EP4","RAB17",0.85,0.91
"EIF2AK2","PRKD1",0.71,0.913333333333333
"BAG6","HSP90AB1",0.74,0.789166666666667
"CTSS","LCP1",0.71,0.822916666666667
"CTSV","FURIN",0.79,0.764166666666667
"BAD","HSPD1",0.71,0.658333333333333
"BLOC1S2","MUL1",0.78,0.755833333333333
"GZMB","SOD2",0.71,0.867083333333333
"IFI6","IFIT2",0.82,0.9125
"IFIT2","TNFSF10",0.74,0.966666666666667
"EPHA2","TAL1",0.72,0.720416666666667
"GPI","TWSG1",0.75,0.534166666666667
"IL4","RAPGEF3",0.74,0.620416666666667
"RIPOR2","TYROBP",0.81,0.752916666666667
"FKBP1A","PLEK",0.7,0.795
"GPR55","PHB2",0.77,0.691666666666667
"KIT","TXK",0.71,0.764583333333333
"P2RY12","SELE",0.7,0.73
"FASN","RARA",0.78,0.875416666666667
"EDN1","PLA2G2D",0.7,0.697083333333333
"PLA2G2D","TNFSF11",0.7,0.66
"GPX1","RAPGEF3",0.71,0.762916666666667
"PDPN","ZEB1",0.73,0.607916666666667
"CCL5","JAK2",0.71,0.821666666666667
"IL6ST","TNFSF11",0.71,0.622916666666667
"ATP7A","B2M",0.73,0.641666666666667
"BCL2","HMOX1",0.86,0.730416666666667
"BMP6","SLC40A1",0.74,0.853333333333333
"F2","ID2",0.77,0.92625
"HES1","ID2",0.83,0.852916666666667
"HES1","NR1D1",0.73,0.602083333333333
"B4GALT1","VEGFA",0.83,0.82375
"CXCR4","TNFAIP3",0.85,0.7675
"PIK3CB","SRF",0.91,0.8025
"XBP1","TNFAIP3",0.8,0.7525
"DLL1","VEGFC",0.86,0.9
"FLT3","PIK3CA",0.71,0.671666666666667
"IL12A","MYO1C",0.72,0.617916666666667
"IL12A","VEGFA",0.7,0.803333333333333
"ANO6","DAPK1",0.76,0.885833333333333
"IFNGR2","PTPN6",0.79,0.711666666666667
"EDN1","MAP2K6",0.73,0.6975
"TNFSF11","TNFRSF11A",0.7,0.577916666666667
"C3","C1QB",0.72,0.585
"CX3CR1","PIK3R1",0.82,0.79
"DUSP3","C1QC",0.7,0.6525
"TGFB3","PIK3R1",0.79,0.726666666666667
"TGFBR1","TREM2",0.83,0.503333333333333
"CD74","TRIM38",0.74,0.6125
"HLA-DRB1","CD4",0.73,0.512916666666667
"LGALS1","TRIM11",0.74,0.56125
"LGALS1","TRIM38",0.7,0.573333333333333
"LGALS9","TRIM11",0.81,0.69
"CTR9","SIRT1",0.79,0.791666666666667
"KAT7","MYB",0.76,0.884166666666667
"CD81","CMTM3",0.81,0.883333333333333
"FOXP1","CMTM3",0.79,0.60125
"CTNNB1","MAPK1",0.7,0.520416666666667
"HOXA5","MAPK3",0.71,0.656666666666667
"CD300LF","TREM2",0.81,0.83625
"HMGB1","C4B",0.84,0.769583333333333
"TREM2","C4B",0.81,0.505
"IL1RN","IL6",0.74,0.67375
"IL1RN","OTUD4",0.72,0.740416666666667
"IL1RN","ZBP1",0.82,0.761666666666667
"ZNF675","MIR27A",0.7,0.613333333333333
"FFAR3","IL1B",0.72,0.747916666666667
"FFAR3","PRKCQ",0.84,0.729166666666667
"IDE","SH2B2",0.75,0.75375
"CCL19","GEM",0.74,0.878333333333333
"ACTR3","RAC2",0.75,0.699583333333333
"ATP7A","PIK3R1",0.83,0.552916666666667
"CDC42","WASF2",0.73,0.715833333333333
"RAC2","WASF2",0.83,0.515833333333333
"GAS6","XIAP",0.7,0.8875
"GPS2","PTPN2",0.83,0.712083333333333
"GPS2","XIAP",0.72,0.716666666666667
"CHUK","MAPK9",0.75,0.754583333333333
"CYBB","NCF1",0.74,0.594166666666667
"FOS","HSF1",0.73,0.796666666666667
"GPI","MAPK1",0.7,0.668333333333333
"GPI","MAPK3",0.75,0.66
"MAPK1","MAPK9",0.73,0.7725
"FGFR2","MEF2C",0.71,0.860833333333333
"POU4F1","SEMA3C",0.7,0.941666666666667
"AKIRIN1","MIR17HG",0.82,0.901666666666667
"AKIRIN1","RBPJ",0.7,0.844166666666667
"EPHB1","MEF2C",0.76,0.899166666666667
"FGFR2","RUNX1",0.76,0.825833333333333
"NOTCH1","PIM1",0.73,0.740416666666667
"HIPK2","SOX4",0.71,0.799583333333333
"MARCHF7","PYHIN1",0.7,0.7525
"PMAIP1","BATF",0.85,0.565
"CD47","PAK1",0.75,0.631666666666667
"RAC1","RAPGEF3",0.75,0.741666666666667
"FGFR2","SIX4",0.71,0.761666666666667
"LRRK2","SIX1",0.71,0.73
"CXCR4","PIM1",0.72,0.878333333333333
"PIM1","ZP3",0.7,0.7125
"DUSP22","DUSP3",0.7,0.798333333333333
"MAPK1","MYC",0.77,0.79625
"MED1","PLCG1",0.87,0.84375
"PTPN11","ZFP36L2",0.72,0.655
"ZFP36L2","PLCG1",0.73,0.6075
"TDGF1","PDPK1",0.76,0.613333333333333
"PIP4K2A","PRKCB",0.71,0.751666666666667
"CCL5","PCBP2",0.72,0.864583333333333
"EP300","ST3GAL1",0.76,0.777083333333333
"IFITM3","PARP9",0.93,0.95
"PARP9","TRIM21",0.7,0.77
"PRMT1","REST",0.88,0.8775
"ST6GAL1","TRIM13",0.77,0.761666666666667
"ADARB1","NOTCH1",0.73,0.743333333333333
"IFIT1","NOTCH1",0.71,0.796666666666667
"IFIT1","SRPK1",0.77,0.83625
"IFIT1","SRPK2",0.73,0.732916666666667
"SRPK2","PDE12",0.73,0.530416666666667
"ADIPOQ","WNT2B",0.8,0.584166666666667
"RET","WNT2B",0.87,0.73875
"SELE","VTN",0.74,0.874166666666667
"FGFR2","TRIM15",0.77,0.8775
"GJA1","ITGB1",0.7,0.803333333333333
"CTNNB1","SIRT1",0.74,0.782083333333333
"EREG","MIR221",0.8,0.761666666666667
"GATA6","SRF",0.71,0.690833333333333
"BMP6","MT1G",0.76,0.700833333333333
"HFE","IREB2",0.7,0.683333333333333
"LCN2","SLC30A8",0.72,0.784166666666667
"MT1G","HAMP",0.73,0.5075
"SLC11A2","SLC39A10",0.82,0.865416666666667
"ACTR3","PIK3R1",0.74,0.775416666666667
"ADD2","SPTA1",0.76,0.879583333333333
"CTNNBIP1","SMAD6",0.74,0.830833333333333
"CYRIB","SIRT2",0.89,0.71
"DDX3X","PTGER4",0.85,0.765
"HSF1","RPL13A",0.79,0.875833333333333
"APPL1","DOCK2",0.9,0.8525
"DNM2","CDC42",0.72,0.56625
"MAPKAPK2","NR1H2",0.78,0.70375
"NR1H2","PYCARD",0.74,0.638333333333333
"IFNG","TUSC2",0.77,0.817083333333333
"PRNP","TNFSF4",0.77,0.615416666666667
"VSIR","TLR4",0.79,0.565833333333333
"ADGRB1","MMP8",0.83,0.70125
"CYBA","PLCG2",0.77,0.840416666666667
"SOD2","MMP8",0.7,0.586666666666667
"CACTIN","PRDX2",0.72,0.545
"NFKBIL1","PRDX2",0.77,0.655833333333333
"TNFAIP3","TRIB1",0.84,0.749583333333333
"CITED2","TP53",0.71,0.839166666666667
"EGR1","SIRT2",0.88,0.739583333333333
"NFE2L2","TP53",0.78,0.74625
"CTSL","ST6GAL1",0.73,0.89625
"IRF3","SIRT1",0.7,0.893333333333333
"MEF2C","ST6GAL1",0.72,0.781666666666667
"SELENOS","SIRT1",0.76,0.745833333333333
"SIRT1","ST6GAL1",0.93,0.75625
"IL6","TNF",0.88,0.855416666666667
"METTL3","RIPK1",0.77,0.589166666666667
"PPP3CA","PRKRA",0.94,0.835833333333333
"PPP3CA","PUM2",0.74,0.738333333333333
"PPP3CA","ZMPSTE24",0.83,0.7725
"TP53","ZC3H12A",0.7,0.579583333333333
"CEACAM1","VTN",0.73,0.747916666666667
"KRT1","PDGFRA",0.7,0.824166666666667
"ADGRG3","CYLD",0.73,0.827083333333333
"ADGRG3","TRIM40",0.8,0.74
"CCN3","NLRC3",0.72,0.7925
"CYLD","NLRP12",0.7,0.701666666666667
"MKRN2","NLRP3",0.75,0.61
"NLRP3","ZC3H12A",0.78,0.653333333333333
"ANLN","CDC42",0.73,0.88
"RIPOR2","WASF2",0.72,0.7675
"EZR","MSN",0.92,0.84125
"F2RL1","RAPGEF3",0.7,0.61125
"ICAM1","IL1B",0.89,0.87125
"ICAM1","RAPGEF3",0.74,0.542083333333333
"ICAM1","TNF",0.76,0.883333333333333
"MYD88","MSN",0.77,0.553333333333333
"PDE4D","VEGFA",0.76,0.572916666666667
"FYN","TLR4",0.74,0.795
"PIKFYVE","RHOA",0.75,0.755833333333333
"BMP4","RIPK1",0.74,0.676666666666667
"DHX9","MAP2K1",0.76,0.756666666666667
"PUM1","STAT3",0.78,0.749166666666667
"ZC3H12A","ZFP36",0.82,0.616666666666667
"PPARG","TP53",0.72,0.685
"STAT3","TP53",0.7,0.708333333333333
"NCK1","NR1H2",0.84,0.91375
"GATA1","HSPA1B",0.71,0.827916666666667
"HSPA1A","PRDX2",0.72,0.73625
"HSPA1B","NF1",0.78,0.619166666666667
"INHBA","CX3CL1",0.73,0.525416666666667
"INHBA","PRDX2",0.73,0.78
"INHBA","RIPK1",0.74,0.89625
"PRDX2","PF4",0.75,0.507916666666667
"TNF","IL7",0.7,0.615
"PDGFD","PECAM1",0.74,0.565833333333333
"IL6R","PDGFB",0.7,0.544583333333333
"CYREN","HSF1",0.76,0.760416666666667
"CYREN","SHLD2",0.76,0.61625
"NSD2","PARP9",0.81,0.743333333333333
"PRKDC","HSF1",0.78,0.5475
"RIF1","NSD2",0.75,0.722916666666667
"IL18","PLA2G2A",0.74,0.730416666666667
"APOBEC3H","TRIM28",0.72,0.639166666666667
"CAV1","FADD",0.74,0.895833333333333
"FADD","RIPK2",0.87,0.64
"PYCARD","LGMN",0.7,0.508333333333333
"PYCARD","RIPK2",0.72,0.67
"CDKN1A","MSH2",0.91,0.714583333333333
"CRIP1","STK11",0.73,0.515833333333333
"HYAL2","MSH2",0.71,0.76125
"IL12A","MFAP4",0.88,0.6775
"MFAP4","MSH2",0.87,0.502083333333333
"ATF4","VIM",0.71,0.75
"BAK1","BLOC1S3",0.72,0.893333333333333
"CACNA1C","MEIS1",0.73,0.820833333333333
"EPHB1","ZEB1",0.74,0.830833333333333
"C1QBP","EIF6",0.75,0.885833333333333
"SYNCRIP","YTHDF3",0.77,0.75
"EP300","SIX1",0.72,0.753333333333333
"AKT1","IL7",0.73,0.939583333333333
"HSPA1A","RIPK1",0.8,0.8325
"CASP3","PDPK1",0.89,0.91
"DDX3X","TSC22D3",0.83,0.790833333333333
"ICOSLG","MAP2K7",0.79,0.802916666666667
"PKN1","TSC22D3",0.7,0.683333333333333
"ADAM17","PTPRJ",0.74,0.861666666666667
"FASLG","LGMN",0.77,0.641666666666667
"GPER1","RTN4",0.84,0.9125
"BMP4","JAG1",0.7,0.80125
"CTNNB1","MDK",0.74,0.64125
"EZH2","JAG1",0.78,0.801666666666667
"EZH2","TGFB3",0.85,0.794166666666667
"LEF1","TGFBR2",0.7,0.675416666666667
"RGCC","MIR221",0.77,0.625
"ANXA2","B2M",0.76,0.874166666666667
"C3","VEGFA",0.74,0.62125
"CBL","GREM1",0.73,0.680833333333333
"CCL19","VEGFA",0.8,0.67
"HFE","VTN",0.72,0.938333333333333
"IL4","TF",0.74,0.531666666666667
"CDH17","PLEK",0.86,0.805833333333333
"CX3CL1","FARP2",0.99,0.67
